,企業名,キャッチコピー,ステータス,初年度年収
60,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／今月入社も可能,未経験・第二新卒OK【総合職(組立・検品等)】★月収42万円以上可 正社員,正社員,300万円～500万円
61,株式会社TCG | 【前職給与保証！働く時間は12～18時の6時間！】,【営業】平均年収834万円/月収30万円+歩合/土日休み選択可 正社員,正社員,400万円～1500万円
62,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンクの【ソリューション営業】高卒以上/社会人経験必須 正社員,正社員,
63,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,同期入社多数！【資材管理】★研修充実！※全国募集※未経験歓迎 正社員,正社員,350万円～500万円
64,日本eリモデル株式会社 | 勤続1年以上の平均月収60万円【大阪府緊急雇用対策に賛同】,景気に左右されず好調！【企画営業】就職祝金15万円★転勤なし★ 正社員,正社員,300万円～700万円
65,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,【営業系総合職】年齢不問／全国／建築・不動産業界の経験者 正社員,正社員,400万円～800万円
66,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,今から変われる【 営業 】※全国募集／30歳まで／WEB面接実施 正社員,正社員,400万円～800万円
67,UTエイム株式会社 | 【東証一部上場グループ】安定性抜群★WEB面接OK,月収42万円以上も可能！【工場ラインスタッフ】★未経験歓迎 正社員,正社員,300万円～500万円
68,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,社会人経験があればOK！【営業系総合職】※年齢不問／全国募集 正社員,正社員,400万円～800万円
69,東建コーポレーション株式会社 | WEB面接実施！『 年齢に関係なく、まだまだやれる会社です！』,中途の40～50代活躍中！【営業】※全国募集/未経験歓迎/年齢不問 正社員,正社員,400万円～800万円
70,UTコンストラクション株式会社 | <東証一部上場グループ>家電家具付き社宅＋6割補助＋引越費支給,【点検・保守】未経験歓迎☆日勤/基本土日休み/平均月収29万円 正社員,正社員,300万円～650万円
71,春電株式会社 | 選べる完全週休2日｜年収700万円以上も目指せる｜出張・夜間なし,前職給与保証！【電気施工管理】※年齢不問／土日祝休みも選択可 正社員,正社員,400万円～700万円
72,株式会社そら | 【Dr.ストレッチを全国展開】目標や夢に向けて頑張る仲間が集結,【ストレッチトレーナー】仕事が”大好き”になる待遇＆働き方♪ 正社員,正社員,300万円～550万円
73,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／勤務地自由！◆,【宅配ドライバー】平均日当3万円/すぐ就業可 ※正社員登用あり 業務委託,業務委託,300万円～1000万円
74,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,未経験OK！集客を支援する【法人営業】★土日祝休★残業ほぼなし 正社員,正社員,300万円～400万円
75,株式会社修優舘 | 基本残業ゼロ｜賞与年3回+業績給｜オープニング募集もあり,2人に1人が年収700万円超【講師・教室長候補】完全週休2日制あり 正社員,正社員,360万円～700万円
76,株式会社リンクスタッフグループ | ＜コロナ禍でも前年比成長率150%見込み！＞★実力を試せる！,未経験歓迎【人材系営業&コーディネーター】★結果が賞与に反映 正社員,正社員,
77,株式会社誠進堂 | 売上は昨年対比170％UP／平均月収50万円＆平均年収700万円！,頑張りがきちんと報われる！【現場監督】※残業月平均18時間程度 正社員,正社員,400万円～1000万円
78,大東建託株式会社 | 【東証一部上場】◆全国募集◆残業代1分単位支給◆Web説明会実施,【営業】20万の入社支度金◆平均年収850万◆経験者募集 正社員,正社員,400万円～1000万円
79,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,【受付カウンセラー】未経験歓迎★34歳までの方限定★賞与年4回 正社員,正社員,350万円～450万円
80,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★社員寮完備★昼勤or夜勤を選択可,【観光コンシェルジュ(ドライバー)】※直近の平均月収27～45万円 正社員,正社員,400万円～700万円
81,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,<稼げる> 経験者募集【施工管理(土木/建築/造園/管/電気)】 正社員,正社員,400万円～800万円
82,株式会社ONE | #ボーナス年間250万円の実績あり,契約の登録一切なし!集客イベントの【企画運営】※未経験歓迎 正社員,正社員,280万円～400万円
83,有限会社高美電気工事 | #大阪府緊急雇用対策に賛同 #整った労務環境 #平均月収40万円～,住友電設、きんでんと直取引！【電気工事士】※未経験歓迎 正社員,正社員,400万円～500万円
84,株式会社テラスカイ・テクノロジーズ | ★東証一部上場「テラスカイ」グループが立ち上げた新会社,希少価値が高い人材になる【Salesforceエンジニア】月給37.5万円 正社員,正社員,441万円～450万円
85,株式会社ジーアフター | 輸入車・国産車の買取、販売◇売上前年比130%成長で不況知らず！,車販売の【営業・店舗運営】未経験者も月給30万以上でスタート！ 正社員,正社員,400万円～650万円
86,株式会社アクトプロブレインズ | 過去全員が前職給与UP*リモート＆フレックス推奨*残業月平均10h,《前給保証！年収200万円UP実績あり》【ITエンジニア】 正社員,正社員,
87,倉一建基株式会社 | 中電工と安定取引/『地球』を相手にする技術力で圧倒的なシェア,【施工スタッフ】未経験＆U・Iターン歓迎！ ※20～40代が活躍中 正社員,正社員,350万円～500万円
88,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,★全国募集★【ライセンスアドバイザー】＊中途社員平均年齢28歳 正社員,正社員,350万円～550万円
89,株式会社YKH | 「Challenge Change Revolution」が合言葉◆入社祝い金100万円有,新事業の立ち上げメンバー！【リフォーム営業】★月給30万円～ 正社員,正社員,500万円～800万円
90,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,【代理店開拓専門アポインター営業】★平均月収60万円以上★ 業務委託,業務委託,500万円～1100万円
91,インターギアソリューション株式会社 | 電話が好きであれば採用。（１日150コールと勉強の日々です。）,【求人広告電話営業】★未経験OK　平均月収40万　※前年保証有 業務委託,業務委託,400万円～1100万円
92,株式会社テクノプロ・コンストラクション | 東証一部上場グループ｜残業少なめ｜大阪府緊急雇用対策に賛同,関西エリア限定募集★ 【プロジェクト管理】年休118日/土日祝休 正社員,正社員,500万円～1106万円
93,株式会社ジーアフター | 【大型店新規オープン】＊千葉県トップクラスの中古車販売店,車を美しく仕上げる【商品化スタッフ(コーティング等)】未経験OK 正社員,正社員,400万円～500万円
94,ミタカ不動産株式会社 | ― 転職サイト初掲載 ― 固定給＋最大利益の35%を歩合として支給,【 不動産営業 】反響型★前職よりも高収入を目指せる！ 正社員,正社員,
95,HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・スキル不問,面談確約【エアコンクリーニング】研修制度◎高収入を目指せる！ FCオーナー,FCオーナー,
96,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,《希望の勤務地》《高収入》《望む働き方》を実現！【施工管理】 正社員,正社員,600万円～1000万円
97,株式会社フジナガ | 【創業40周年】全国展開する鳥害対策業界のトップクラスメーカー,鳥害対策の【ルート営業】本物のありがとうと感動を★未経験歓迎 正社員,正社員,350万円～550万円
98,株式会社大成社 | 年収平均80万UP／Java 3年経験者：月給例48.75万／年収例585万,案件単価の75%を給与に還元【ITエンジニア（開発・インフラ）】 正社員,正社員,430万円～1100万円
99,株式会社エコスマート | 創業以来10期連続増収増益◆社員定着率92.3％◆年3回長期休み有,【営業系総合職】★未経験入社7割★年4回インセンあり★残業月7H 正社員,正社員,350万円～600万円
100,株式会社D・R・M | ★年休120日以上 ★土日祝休み ★女性ものびのび活躍中の職場♪,業界知識を活かして稼げる！【不動産営業】★産育休実績あり！ 正社員,正社員,400万円～1000万円
101,クリーンデバイス・テクノロジー株式会社,カーエアコンクリーニング「空気の洗車屋さん」【FCオーナー】 FCオーナー,FCオーナー,
102,株式会社ホットスタッフ博多 | 北九州、行橋、小倉、飯塚、新宮、久留米に拠点を展開！,人材派遣会社の【 営業職 】★経験ゼロでOK！まずはご応募下さい 正社員,正社員,450万円～550万円
103,株式会社トップガイ | 《業績拡大中》★新店続々OPEN ★週休2日制 ★20代～30代活躍中,ブランド品・貴金属の査定・買取を行う【反響営業】★定時退社 正社員,正社員,300万円～360万円
104,第一生命保険株式会社 | ◆「プラチナくるみん」認定企業 ◆WEB面談対応OK！ ◆賞与年2回,【営業職】★女性活躍中/未経験OK/月給30万円～！ 正社員,正社員,
105,株式会社あおぞら不動産管理 | 年収1000万円以上も可能！土日祝休み！年休126日！業績好調！,【不動産コンサルティング営業】★成約率80％★経歴よりも人柄！ 正社員,正社員,500万円～1000万円
106,イッセイコンサルタント株式会社 | 国土交通省のパートナー企業◆平均年収600～700万／完全週休2日,未経験OK★内勤で建設に携われる?!【 発注者支援業務スタッフ 】 正社員,正社員,350万円～850万円
